price,qty,side,timestamp_utc,symbol
76841.84,2.11561,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76841.83,0.01169,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76841.82,0.00014,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76841.77,0.3257,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76841.76,7e-05,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76841.41,0.05226,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76840.88,0.0068,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76840.61,0.01792,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76840.54,7e-05,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76840.42,0.04136,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76840.01,7e-05,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76840.0,0.02807,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76839.78,0.00017,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76839.38,0.02141,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76839.09,0.004,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76838.47,0.00651,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76838.46,0.00014,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76838.45,0.00048,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76838.44,0.11135,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76838.23,7e-05,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76838.15,0.02141,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76838.07,0.03903,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76838.0,0.08228,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76837.99,0.00997,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76837.74,0.00155,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76837.23,0.00051,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76837.22,0.15,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76837.17,0.12014,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
